numphylotag	phylotag	Transmittance	MTT	MTTSd	DMT	DMTSign	MTO	MTOSd	FWLength	FWTotalArea	FWTranspArea	PropTransp	Wing	Genus	species	ssp	SpType	MicroTransparentZone	Nano	MicroOpaqueZone
182	Oleria_tigilla	39.25171488	905.539978	505.5013733	-424.789978	N	480.75	46.73975754	25.65	243.682	72.983	29.95	FW	Oleria	tigilla		B	PE	pillars	LF
123	Hypothyris_fluonia	0.461085446	776.7999878	165.4326019	-276.5999756	N	500.2000122	145.2397308	28.942	289.814	29.602	10.21	FW	Hypothyris	fluonia	pardalina	B	LF	maze	LF
86	Napeogenes_harbona	30.31884259	368.9599915	67.68868256	-169.9099884	N	199.0500031	53.81082535	26.9955	250.148	109.456	43.76	FW	Napeogenes	harbona		B	PE	nipples	LF
164	Oleria_zelica	21.95010146	490.7600098	52.3687706	-169.1100159	N	321.6499939	12.6572113	22.635	160.413	47.054	29.33	FW	Oleria	zelica	pagasa	B	PE	nipples	LF
58	Ithomia_diasia	50.28964378	862.7000122	197.6229858	-120.9500122	N	741.75	195.2321777	23.389	202.874	81.01095409	39.93	FW	Ithomia	diasia	hippocrenis	B	PE	nipples	LF
40	Methona_curvifascia	20.36586411	1684.800049	28.52542686	-113.8000488	N	1571		43.70125	497.712	239.253	48.07	FW	Methona	curvifascia		B	LE	absent	LF
178	Oleria_onega	36.7255852	484.6000061	53.19104004	-96	N	388.6000061		22.453	166.072	43.293	26.07	FW	Oleria	onega	astigara	B	PE	sponge	LF
129	Hyalyris_oulita	4.569931702	503.1400146	109.5831757	-93.89001465	N	409.25	2.333451986	29.035	281.017	55.983	19.92	FW	Hyalyris	oulita		B	PE	maze	LF
173	Oleria_didymaea	33.7081711	595.8200073	31.16226959	-48.66998291	N	547.1500244	85.34778595	23.405	193.836	67.564	34.86	FW	Oleria	didymaea	sspnov.3 ?	B	PE	sponge	LF
43	Methona_confusa	22.30478797	2150.800049	325.4008179	-47.80004883	N	2103	294.1564331	41.812	514.595	270.635	52.59	FW	Methona	confusa	psamathe	B	LE	absent	LF
167	Oleria_paula	45.05573041	465.1799927	150.3222656	-47.52999878	N	417.6499939	116.8847504	24.036	177.968	51.544	28.96	FW	Oleria	paula	paula	B	PE	nipples	LF
306	Pseudoscada_florula	38.13494019	450.2600098	24.85946465	-25.36001587	N	424.8999939		21.107	167.975	42.692	25.42	FW	Pseudoscada	florula	aureola	B	PE	pillars	LE
110	Hyalyris_coeno	1.192309006	501.2200012	46.04336929	-17.26998901	N	483.9500122	83.93357849	31.74	356.002	61.71	17.33	FW	Hyalyris	coeno	atrata	B	LF	maze	LF
325	Hypomenitis_lydia	48.68862464	851.9000244	100.0944061	-14.35003662	N	837.5499878	15.76848125	29.75	294.219	186.826	63.5	FW	Hypomenitis	lydia		B	PE	pillars	LE
168	Oleria_estella	33.46485151	382.3200073	48.35738754	-12.82000732	N	369.5	122.1880493	20.666	140.553	48.17	34.27	FW	Oleria	estella	estella	B	PE	nipples	LF
1	Athyrtis_mechanitis	0.270483222	868.25	118.2541122	0	E	868.25	118.2541122	41.161	549.904	0	0	FW	Athyrtis	mechanitis	salvini	C	LF	absent	LF
5	Melinaea_marsaeus	0.104983912	549.5499878	63.42747879	0	E	549.5499878	63.42747879	39.668	528.86	0	0	FW	Melinaea	marsaeus	phasiana	C	LF	maze	LF
24	Mechanitis_messenoides	0.033544395	788.9749756	185.6274872	0	E	788.9749756	185.6274872	40.928	498.386	0	0	FW	Mechanitis	messenoides	deceptus	C	LF	absent	LF
119	Hypothyris_mansuetus	0.242107536	511.3166809	69.08908844	0	E	511.3166809	69.08908844	35.63	414.683	0	0	FW	Hypothyris	mansuetus	meterus	C	LF	maze	LF
192	Ceratinia_neso	6.993473695	935.75	41.08290482	0	E	935.75	41.08290482	23.497	189.718	31.413	16.56	FW	Ceratinia	neso		C	PE	nipples	PE
195	Ceratinia_tutia	11.71057107	706.2000122	38.32518768	0	E	706.2000122	38.32518768	26.133	243.083	135.659	55.81	FW	Ceratinia	tutia		C	PE	sponge	PE
151	Oleria_baizana	34.58801691	538.6799927	37.27716446	0.869995117	P	539.5499878	90.01469421	30.415	275.126	67.663	24.59	FW	Oleria	baizana	baizana	B	PE	nipples	LF
153	Oleria_bioculata	38.66620771	515.9000244	144.1818848	6.849975586	P	522.75	139.2293243	23.409	185.216	82.599	44.6	FW	Oleria	bioculata	tapio	B	PE	nipples	LF
33	Aeria_eurimedia	3.171979738	608.7199707	81.64810181	12.2800293	P	621	75.94326782	24.857	229.776	82.198	35.77	FW	Aeria	eurimedia	negricola	B	LE	maze	LF
28	Scada_zibia	19.19897942	330.0799866	20.18061066	16.37002563	P	346.4500122	72.33702087	18.463	118.923	46.682	39.25	FW	Scada	zibia	batesi	B	PE	absent	LE
106	Napeogenes_duessa	4.826975517	444	24.09512329	17.54998779	P	461.5499878	42.07285309	25.422	212.152	32.354	15.25	FW	Napeogenes	duessa	duessa	B	LF	maze	LF
127	Hyalyris_ocna	31.27927548	633.5800171	97.60118866	18.61999512	P	652.2000122	37.75950241	31.751	308.054	174.661	56.7	FW	Hyalyris	ocna	ecuatoria	B	PE	maze	LF
35	Tithorea_tarricina	2.703184087	731.4000244	86.23506927	21.29998779	P	752.7000122	249.3258514	47.171	801.236	48.855	6.1	FW	Tithorea	tarricina	bonita	B	LF	maze	LF
135	Hyposcada_illinissa	27.43498154	445.8399963	17.59667587	23.51000977	P	469.3500061	43.62848663	26.616	253.289	39.833	15.73	FW	Hyposcada	ilinissa	ssp.4	B	PE	nipples	LF
315	Hypomenitis_enigma	48.29605784	667.2600098	111.4499817	28.14001465	P	695.4000244	16.97056389	30.423	311.331	208.443	66.95	FW	Hypomenitis	enigma	sspn	B	PE	pillars	LE
334	Veladyris_pardalis	37.24366211	901.375	54.16353989	37.82501221	P	939.2000122	83.43859863	36.939	473.778	285.5	60.26	FW	Veladyris	pardalis		B	PE	pillars	LE
154	Oleria_cyrene	38.88265226	484.9666748	75.79484558	39.9833374	P	524.9500122	9.687362671	34.158	358.948	93.335	26	FW	Oleria	cyrene?	completa	B	PE	pillars	LF
324	Hypomenitis_oneidodes	48.41216405	785.6221924	42.69018555	42.67779541	P	828.2999878		33.138	323.326	220.133	68.08	FW	Hypomenitis	oneidodes	sspn	B	PE	pillars	LE
287	Hypoleria_alema_eastern	41.53742771	641.5599976	129.3186951	43.98999023	P	685.5499878	123.2487106	27.246	254.602	65.446	25.71	FW	Hypoleria	lavinia (alema) eastern	chrysodonia	B	PE	pillars	LE
